SalesDate, Quantity
2017-10-11,892
2017-10-12,931
2017-10-13,1149
2017-10-14,1001
2017-10-15,957
2017-10-16,905
2017-10-17,879
2017-10-18,1034
2017-10-19,945
2017-10-20,904
2017-10-21,923
2017-10-22,1090
2017-10-23,1014
2017-10-24,1017
2017-10-25,899
2017-10-26,1040
2017-10-27,1044
2017-10-28,1048
2017-10-29,1119
2017-10-30,1105
2017-10-31,996
2017-11-01,1081
2017-11-02,1143
2017-11-03,1247
2017-11-04,1188
2017-11-05,1328
2017-11-06,1139
2017-11-07,1322
2017-11-08,1330
2017-11-09,1332
2017-11-10,1329
2017-11-11,1248
2017-11-12,1395
2017-11-13,1424
2017-11-14,1328
2017-11-15,1297
2017-11-16,1427
2017-11-17,1513
2017-11-18,1492
2017-11-19,1364
2017-11-20,1626
2017-11-21,1522
2017-11-22,1418
2017-11-23,1404
2017-11-24,1402
2017-11-25,1481
2017-11-26,1573
2017-11-27,1535
2017-11-28,1465
2017-11-29,1493
2017-11-30,1604
2017-12-01,1665
2017-12-02,1519
2017-12-03,1581
2017-12-04,1493
2017-12-05,1714
2017-12-06,1700
2017-12-07,1445
2017-12-08,1597
2017-12-09,1535
2017-12-10,1557
2017-12-11,1638
2017-12-12,1670
2017-12-13,1642
2017-12-14,1522
2017-12-15,1533
2017-12-16,1613
2017-12-17,1469
2017-12-18,1585
2017-12-19,1654
2017-12-21,1578
2017-12-23,1359
2017-12-25,1480
2017-12-26,1503
2017-12-27,1456
2017-12-28,1450
2017-12-29,1312
2017-12-30,1305
2017-12-31,1338
2018-01-01, 
2018-01-02, 
2018-01-03, 
2018-01-04, 
2018-01-05, 
2018-01-06, 
2018-01-07, 
2018-01-08, 
2018-01-09, 
2018-01-10, 
2018-01-11, 
2018-01-12, 
2018-01-13, 
2018-01-14, 
2018-01-15, 
2018-01-16, 
2018-01-17, 
2018-01-18, 
2018-01-19, 
2018-01-20, 
2018-01-21, 
2018-01-22, 
2018-01-23, 
2018-01-24, 
2018-01-25, 
2018-01-26, 
2018-01-27, 
2018-01-28, 
2018-01-29, 
2018-01-30, 
2018-01-31, 
2018-02-01, 
2018-02-02, 
2018-02-03, 
2018-02-04, 
2018-02-05, 
2018-02-06, 
2018-02-07, 
2018-02-08, 
2018-02-09, 
2018-02-10, 
2018-02-11, 
2018-02-12, 
2018-02-13, 
2018-02-14, 
2018-02-15, 
2018-02-16, 
2018-02-17, 
2018-02-18, 
2018-02-19, 
2018-02-20, 
2018-02-21, 
2018-02-22, 
2018-02-23, 
2018-02-24, 
2018-02-25, 
2018-02-26, 
2018-02-27, 
2018-02-28, 
2018-03-01, 
2018-03-02, 
2018-03-03, 
2018-03-04, 
2018-03-05, 
2018-03-06, 
2018-03-07, 
